Player,Year,Pos,Archetype,DBPM,mean,BPM,RAPM
OLIVIA ÉPOUPA,2024,G,Roller/Cutter,3.051510830234618,12.902513349283955,0.7023251900660843,5.762533073982958
BRITTANY BOYD-JONES,2021,G,Secondary Creator/Distributor,3.038630633089919,10.245712258580388,-15.20222721954983,17.393647041747943
TRACY REID,2001,F,Roller/Cutter,3.038497519230257,-1.2606489593503911,-0.08903287300189389,-0.8521423210706143
KIAH STOKES,2022,C,Roller/Cutter,3.032532422096563,2.646973093488552,1.6341591682630017,3.915006468093335
YOLANDA GRIFFITH,2000,PowerF,Interior Primary Option,3.031244656848327,4.44806216886647,0.6162409467577286,5.846690596148456
TAMIKA CATCHINGS,2002,F,Primary On-Ball Creator,3.017957157448705,-1.420622173569284,6.568354372188317,-0.8568288698398634
CANDACE PARKER,2015,PowerF,Perimeter-Oriented Big/Wing,3.0112320743129892,2.353142186233306,-2.043283985840679,-1.8882335432354296
JENNIFER HAMSON,2017,C,Roller/Cutter,2.9887411142132585,1.7812071898682802,1.4890299913403062,3.9614013935160832
LATOYA SANDERS,2015,PowerF,Roller/Cutter,2.9744059211711695,3.5692003370349616,0.6501456749851653,2.6796946945647573
EDWINA BROWN,2006,SG,Roller/Cutter,2.966350479334038,1.4350340275701958,-16.31380708262982,30.67975245781183
TAMIKA CATCHINGS,2005,F,Primary On-Ball Creator,2.9637602462458914,6.874060206901553,2.4205169706406218,5.774342662794949
TAMERA YOUNG,2009,F,Secondary Creator/Distributor,2.959324439442316,4.757562650962757,8.95626574734067,20.49821037497174
TAMMY JACKSON,1998,PowerF,Roller/Cutter,2.9491963814468662,8.107893174503733,4.496647382911231,-0.4461163676738984
DANIELLE ADAMS,2017,PowerF,Spot-up Shooter,2.9488036388907104,-22.839875603006497,-9.044739665461947,-67.26762324312944
JAYNE APPEL MARINELLI,2015,C,Roller/Cutter,2.948553393743978,2.275966546996659,-2.9935927477569906,-4.405899262914116
AMBER HALL,2002,F,Roller/Cutter,2.9451601028821783,0.8511951280471788,-4.529490836024326,-3.697319998993975
TONI FOSTER,1999,PowerF,Roller/Cutter,2.937902099964927,-13.502053763308258,-5.761863267142026,-28.635381919166214
