Player,Team,Year,Pos,Archetype,Total Minutes,BPM,RAPM
ITORO UMOH-COLEMAN,HOU,2003,G,Secondary Creator/Distributor,5.1,10.05609972504326,-39.90809163784948
KELLIE JOLLY HARPER,CLE,1999,G,Secondary Creator/Distributor,3.6,9.91806812443722,-37.010937694735254
ELENA DELLE DONNE,WAS,2021,SG,Perimeter-Oriented Big/Wing,52.2,9.57951966549416,29.735578721935497
SWIN CASH,DET,2002,F,Perimeter-Oriented Big/Wing,1078.4,9.381686330460335,39.181061630314396
ALEAH GOODMAN,CON,2021,G,Secondary Creator/Distributor,3.2,9.363167878026939,-151.71355586617517
ALAINA COATES,ATL,2019,C,Roller/Cutter,167.9,8.723737865295305,6.707805724598904
SHANTIA OWENS,CHA,2002,F,Roller/Cutter,5.6,8.654710699968213,-32.968460635589246
JESSICA MOORE,WAS,2013,PowerF,Roller/Cutter,7.6,8.611751106170143,63.462231909180076
DAVALYN CUNNINGHAM,ORL,2002,F,Roller/Cutter,21.6,8.379383228045938,2.373177478864088
ANGEL MCCOUGHTRY,LVA,2020,SG,Perimeter-Oriented Big/Wing,440.0,8.186222823386423,16.435772472233012
BEVERLY WILLIAMS,IND,2000,G,Secondary Creator/Distributor,3.1,8.067502443332423,-96.91399950558456
ELENA DELLE DONNE,WAS,2019,SG,Perimeter-Oriented Big/Wing,902.1,8.038673363064222,21.50793116223951
ANGELA AYCOCK,MIN,2000,G,Secondary Creator/Distributor,12.8,7.90498195948677,-11.692392401258573
LATOYA SANDERS,WAS,2016,PowerF,Roller/Cutter,69.6,7.834047892407423,-1.3787641469119483
PAIGE SAUER,CLE,2001,C,Interior Primary Option,3.8,7.604337177158229,-6.9186574735940205
ALEXIS PRINCE,CHI,2020,F,Spot-up Shooter,16.0,7.594227663141231,-28.00787950095462
MICHAELA PAVLICKOVA,UTA,2001,F,Roller/Cutter,19.0,7.452239565809381,6.596361213396717
VICKIE JOHNSON,NYL,2002,SG,Primary On-Ball Creator,1026.1,6.907176007195001,-18.81439931291834
CANDACE PARKER,LAS,2015,PowerF,Perimeter-Oriented Big/Wing,550.4,6.904563005392981,12.86784429506065
ASIA TAYLOR,CON,2016,F,Interior Primary Option,17.2,6.855218955943047,17.30052847472846
ELISA AGUILAR,UTA,2002,G,Spot-up Shooter,140.0,6.716370103675704,-20.318602097178633
PLENETTE PIERSON,DET,2009,F,Roller/Cutter,5.1,6.712349301599097,-59.99185945865271
JONQUEL JONES,CON,2019,C,Perimeter-Oriented Big/Wing,979.2,6.673777799470596,10.21381613380317
DANA WYNNE,SAC,2001,F,Roller/Cutter,2.9,6.670840911191668,-0.43405393054825403
JONQUEL JONES,CON,2021,C,Perimeter-Oriented Big/Wing,855.9,6.51688985396878,16.641538020875497
SHERILL BAKER,DET,2009,G,Secondary Creator/Distributor,11.4,6.48453577432605,30.945389574490918
AMANDA WILSON,PHO,2000,F,Secondary Creator/Distributor,9.6,6.434763055225751,-7.225904399490288
DEMYA WALKER,POR,2000,F,Interior Primary Option,309.0,6.241792433907447,5.9248875949537
ELENA DELLE DONNE,WAS,2017,SG,Perimeter-Oriented Big/Wing,757.5,6.215983465735026,7.178159401789146
DANIELLE ADAMS,CON,2017,PowerF,Spot-up Shooter,83.60000000000001,6.142623658953564,-15.30734444813697
SANIYA CHONG,DAL,2018,G,Roller/Cutter,42.5,5.918636590141357,8.108653989811879
LAUREN JACKSON,SEA,2006,PowerF,Perimeter-Oriented Big/Wing,852.0,5.848089262865615,13.1038904270547
JONQUEL JONES,CON,2018,C,Interior Primary Option,697.0,5.843320999720278,8.209851723153973
ELENA DELLE DONNE,WAS,2018,SG,Perimeter-Oriented Big/Wing,933.8,5.76597110703839,8.899014296039814
ELENA DELLE DONNE,CHI,2015,SG,Perimeter-Oriented Big/Wing,1032.3,5.751912915220647,9.98713173975912
SEIMONE AUGUSTUS,MIN,2009,SG,Perimeter-Oriented Big/Wing,178.2,5.693682775452313,19.217017407855007
KALANA GREENE,WAS,2014,G,Roller/Cutter,78.0,5.344683234908857,-5.609098158412046
LEVYS TORRES,MIA,2001,C,Secondary Creator/Distributor,7.8,5.2373234065588115,17.47248248706095
NNEKA OGWUMIKE,LAS,2016,F,Interior Primary Option,1042.8,5.156019014583644,7.806833408445169
JONQUEL JONES,CON,2016,C,Interior Primary Option,479.4,5.148019469988366,8.840503400260207
JENNY MOWE,LAS,2003,C,Roller/Cutter,20.8,5.118087040017748,-36.69564351388589
COURTNEY VANDERSLOOT,CHI,2020,G,Primary On-Ball Creator,693.0,5.012500144961904,7.299647788221259
FELICIA RAGLAND,HOU,2005,G,Roller/Cutter,6.8,5.000661627364771,-54.805596219557536
GWEN SLAUGHTER,MIN,2004,F,Roller/Cutter,7.5,4.968726979993261,-15.654056953298747
TIFFANY MCCAIN,ORL,2002,G,Secondary Creator/Distributor,48.0,4.9494141483336165,6.773040639354319
